Test_ID,penalty_stiffness,damping_factor,contact_damping,steel_E,steel_nu,steel_sigma_yield,steel_limit_strain,wood_E,wood_nu,wood_sigma_uts,wood_limit_strain,Frame,Max_U_Blade,Max_Stress,Max_U_Obs,Blade_Elem,Wood_Elem
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,13,0.1766926793374215,142022042.86187366,0.0894725305142048,89,315
9,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.15,14,0.18793359111192118,160755055.8059974,0.09630757175581006,86,296
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,0,0.013895418040526636,0.0010013646702385698,0.0,131,384
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,1,0.027584997657575466,83514104.99031615,0.0007206096890934527,127,375
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,2,0.04106923338338247,73146057.25508446,0.007113903499690979,122,372
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,3,0.05435338427106406,65101525.595915124,0.015175114081990253,122,370
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,4,0.06742658704560092,101258397.9119433,0.02311630798087458,117,368
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,5,0.08031015323443863,415519211.4850019,0.030939272025276174,114,366
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,6,0.09300230769190608,73583502.5229855,0.03864576644151232,112,360
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,7,0.10549996117035203,145931295.0280176,0.04623752524934945,109,354
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,8,0.11782352909946092,142249843.35165128,0.05371625665217072,107,350
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,9,0.1299567694431753,164910792.96913928,0.061083643421335,103,342
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,10,0.14188985256594774,44887038.63754699,0.06834134327481287,102,337
10,20000000.0,15.0,8000.0,20500000000.0,0.28,250000000.0,5.0,1200000000.0,0.26,10000000.0,0.05,11,0.15366186553016237,44529685.621606305,0.0754909892501862,100,333
